"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 18 16:55:17 CST 2019","Thu Jul 18 16:55:17 CST 2019","58","","test_splitsentence","","test_splitsentence","test_splitsentence_title_is_null[\u8c46\u74e31]","test_splitsentence_title_is_null[\u8c46\u74e31]",""
"passed","Thu Jul 18 16:55:18 CST 2019","Thu Jul 18 16:55:18 CST 2019","5","","test_splitword","","test_splitword","test_splitword_multi_article_miss_some_field[datalist1]","test_splitword_multi_article_miss_some_field[datalist1]",""
"passed","Thu Jul 18 16:55:12 CST 2019","Thu Jul 18 16:55:12 CST 2019","276","","test_custom","","test_custom","test_custom_muilt_articles","test_custom_muilt_articles",""
"passed","Thu Jul 18 16:55:16 CST 2019","Thu Jul 18 16:55:16 CST 2019","57","","test_sentiment","","test_sentiment","test_sentiment_multi_article_comment","test_sentiment_multi_article_comment",""
"passed","Thu Jul 18 16:55:18 CST 2019","Thu Jul 18 16:55:18 CST 2019","61","","test_summary","","test_summary","test_summary_percentage_valid[0.9]","test_summary_percentage_valid[0.9]",""
"passed","Thu Jul 18 16:55:13 CST 2019","Thu Jul 18 16:55:13 CST 2019","61","","test_mlableclassifier","","test_mlableclassifier","test_mlableclassifier_title_not_null[\u7f8e\u8054\u50a8\u4e3b\u5e2d\u9c8d\u5a01\u5c14\uff1a\u5c06\u91c7\u53d6\u6070\u5f53\u63aa\u65bd\u7ef4\u6301\u7ecf\u6d4e\u6301\u7eed\u6269\u5f20-\u7ecf\u6d4e-\u7ecf\u6d4e]","test_mlableclassifier_title_not_null[\u7f8e\u8054\u50a8\u4e3b\u5e2d\u9c8d\u5a01\u5c14\uff1a\u5c06\u91c7\u53d6\u6070\u5f53\u63aa\u65bd\u7ef4\u6301\u7ecf\u6d4e\u6301\u7eed\u6269\u5f20-\u7ecf\u6d4e-\u7ecf\u6d4e]",""
"passed","Thu Jul 18 16:55:12 CST 2019","Thu Jul 18 16:55:13 CST 2019","61","","test_keyword","","test_keyword","test_keyword_title_is_null[\u4e60\u8fd1\u5e73.txt]","test_keyword_title_is_null[\u4e60\u8fd1\u5e73.txt]",""
"passed","Thu Jul 18 16:55:18 CST 2019","Thu Jul 18 16:55:18 CST 2019","63","","test_summary","","test_summary","test_summary_charlimit__valid[800]","test_summary_charlimit__valid[800]",""
"passed","Thu Jul 18 16:55:16 CST 2019","Thu Jul 18 16:55:16 CST 2019","6","","test_postag","","test_postag","test_postag_multi_article_miss_some_field[datalist0]","test_postag_multi_article_miss_some_field[datalist0]",""
"passed","Thu Jul 18 16:55:17 CST 2019","Thu Jul 18 16:55:17 CST 2019","248","","test_splitsentence","","test_splitsentence","test_splitsentence_multi_article","test_splitsentence_multi_article",""
